m_id,m_title,m_year,m_maturity,m_runtime,m_genre,m_synopsis,m_lead_cast,m_genres,m_mood,m_audio,m_subtitles,m_cast
81198904,Wonder Woman 1984,2020.0,U/A 13+ ,2h 31m,Action,"While working at the Smithsonian, secret superhero Diana Prince discovers the miracle — and menace — of a mysterious artifact’s staggering powers.","Gal Gadot,Chris Pine,Kristen Wiig","['Action & Adventure Movies', 'US Movies']","['Imaginative,', 'Exciting']","['English [Original],', 'Hindi']",['English'],"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen']"
81388316,Interceptor,2022.0,U/A 16+ ,1h 38m,Action,The last officer standing on a remote missile defense base wages the battle of her life against terrorists aiming 16 stolen nuclear weapons at the US.,"Elsa Pataky,Luke Bracey,Aaron Glenane",['Action & Adventure Movies'],['Exciting'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Mayen Mehta', 'Rhys Muldoon', 'Belinda Jombwe', 'Colin Friels', 'Zoe Carides']"
81001887,6 Underground,2019.0,A ,2h 8m,Action,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.","Ryan Reynolds,Mélanie Laurent,Corey Hawkins","['Action & Adventure Movies', 'US Movies']",['Adrenaline Rush'],"['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Ryan Reynolds', 'Mélanie Laurent', 'Corey Hawkins', 'Dave Franco', 'Adria Arjona', 'Manuel Garcia-Rulfo', 'Ben Hardy', 'Lior Raz', 'Payman Maadi', 'Yuri Kolokolnikov', 'Kim Kold']"
81486213,Mother's Day,2023.0,A ,1h 34m,Thriller,"When the son she's never known gets kidnapped, former special agent Nina dusts off her deadly skills to bring him home — no matter who gets in her way.","Agnieszka Grochowska,Adrian Delikta,Dariusz Chojnacki",['Action & Adventure Movies'],"['Gritty,', 'Suspenseful,', 'Exciting']","['English,', 'Hindi,', 'Polish - Audio Description,', 'Polish [Original]']","['English,', 'English,', 'Polish']","['Agnieszka Grochowska', 'Adrian Delikta', 'Dariusz Chojnacki', 'Paulina Chruściel', 'Paweł Koślik', 'Arkadiusz Brykalski', 'Sebastian Dela', 'Szymon Wróblewski', 'Konrad Eleryk', 'Jowita Budnik']"
81576597,AKA,2023.0,A ,2h 4m,Action,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,"Alban Lenoir,Éric Cantona,Thibault de Montalembert","['Crime Movies', 'Action & Adventure Movies']",['Gritty'],"['English - Audio Description,', 'English,', 'French - Audio Description,', 'French [Original],', 'Hindi']","['English,', 'English,', 'French']","['Alban Lenoir', 'Éric Cantona', 'Thibault de Montalembert', 'Sveva Alviti', 'Saïdou Camara', 'Lucille Guillaume', 'Kevin Layne', 'Philippe Résimont', 'Nathalie Odzierejko', 'Vincent Heneine', 'Noé Chabbat']"
81280035,Luther: The Fallen Sun,2023.0,A ,2h 10m,Thriller,"Haunted by an unsolved murder, brilliant but disgraced London police detective John Luther breaks out of prison to hunt down a sadistic serial killer.","Idris Elba,Cynthia Erivo,Andy Serkis","['Crime Movies', 'Dramas', 'Mystery Movies', 'Action & Adventure Movies', 'US Movies']","['Ominous,', 'Gritty,', 'Dark']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Idris Elba', 'Cynthia Erivo', 'Andy Serkis', 'Dermot Crowley', 'Thomas Coombes', 'Hattie Morahan', 'Lauryn Ajufo', 'Vincent Regan']"
81643622,Missing,2023.0,U/A 16+ ,1h 50m,Drama,"When June's mother and her new boyfriend don't return from a trip to Colombia, the tech-savvy teenager undertakes her own online investigation.","Storm Reid,Nia Long,Megan Suri","['Dramas', 'Thriller Movies', 'Mystery Movies', 'US Movies']",['Chilling'],"['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Storm Reid', 'Nia Long', 'Megan Suri', 'Ken Leung', 'Daniel Henney', 'Joaquim de Almeida', 'Amy Landecker', 'Tim Griffin']"
81058613,Sweet Girl,2021.0,U/A 16+ ,1h 50m,Thriller,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.","Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo","['Dramas', 'Action & Adventure Movies', 'US Movies']","['Adrenaline Rush,', 'Suspenseful']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Jason Momoa', 'Isabela Merced', 'Manuel Garcia-Rulfo', 'Amy Brenneman', 'Adria Arjona', 'Raza Jaffrey', 'Justin Bartha', 'Lex Scott Davis', 'Michael Raymond-James']"
80227090,I Am Mother,2019.0,U/A 13+ ,1h 53m,Sci-Fi,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human.","Clara Rugaard,Rose Byrne,Hilary Swank","['Sci-Fi Movies', 'Thriller Movies']","['Ominous,', 'Suspenseful']","['English - Audio Description,', 'English [Original]']",['English'],"['Clara Rugaard', 'Rose Byrne', 'Hilary Swank', 'Luke Hawker']"
81028975,The Unforgivable,2021.0,A ,1h 54m,Drama,"Released from prison into a society that won't forgive her, a woman convicted of murder searches for the little sister she was forced to leave behind.","Sandra Bullock,Vincent D'Onofrio,Viola Davis","['Crime Movies', 'Dramas', 'US Movies']","['Gritty,', 'Emotional']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Sandra Bullock', ""Vincent D'Onofrio"", 'Viola Davis', 'Jon Bernthal', 'Richard Thomas', 'Linda Emond', 'Aisling Franciosi', 'Rob Morgan', 'Emma Nelson']"
81449034,Nowhere,2023.0,A ,1h 49m,Drama,"Pregnant, alone and drifting in the sea, a woman trapped in a shipping container tries to survive after fleeing a devastated totalitarian country.","Anna Castillo,Tamar Novas,Tony Corvillo","['Dramas', 'Thriller Movies']","['Dark,', 'Suspenseful']","['English,', 'Spanish (Spain) - Audio Description,', 'Spanish (Spain) [Original],', 'Hindi,', 'Tamil,', 'Telugu']","['English,', 'English,', 'Spanish (Spain)']","['Anna Castillo', 'Tamar Novas', 'Tony Corvillo', 'Mariam Torres', 'Irina Bravo', 'Victoria Teijeiro', 'Lucía Soria', 'Mary Ruiz']"
81058695,Lou,2022.0,U/A 16+ ,1h 49m,Action,A mysterious loner living a quiet life with her dog battles the elements and her own dark past when a neighbor's little girl is kidnapped during a storm.,"Allison Janney,Jurnee Smollett,Logan Marshall-Green","['Dramas', 'Action & Adventure Movies', 'US Movies']","['Gritty,', 'Suspenseful']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Allison Janney', 'Jurnee Smollett', 'Logan Marshall-Green', 'Ridley Bateman', 'Matt Craven']"
81309354,The Adam Project,2022.0,U/A 13+ ,1h 46m,Sci-Fi,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.","Ryan Reynolds,Mark Ruffalo,Jennifer Garner","['Family Features', 'Sci-Fi Movies', 'Comedy Movies', 'Action & Adventure Movies', 'US Movies']","['Witty,', 'Feel-Good,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Ryan Reynolds', 'Mark Ruffalo', 'Jennifer Garner', 'Walker Scobell', 'Zoe Saldaña', 'Catherine Keener', 'Alex Mallari Jr.']"
80094318,Central Intelligence,2016.0,U/A 16+ ,1h 47m,Comedy,A CIA operative contacts a former high school buddy with accounting chops to help dissolve a lethal plot against U.S. undercover agents.,"Kevin Hart,Dwayne Johnson,Amy Ryan","['Comedy Movies', 'Action & Adventure Movies', 'Spy Movies', 'US Movies']","['Goofy,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Kevin Hart', 'Dwayne Johnson', 'Amy Ryan', 'Danielle Nicolet', 'Jason Bateman', 'Aaron Paul', 'Ryan Hansen', 'Tim Griffin', 'Timothy John Smith', 'Sione Kelepi']"
80233783,Skyscraper,2018.0,U/A 13+ ,1h 42m,Action,"When his family becomes trapped after terrorists attack the world's tallest building, a security consultant goes to extreme lengths to try and save them.","Dwayne Johnson,Neve Campbell,Chin Han","['Action & Adventure Movies', 'US Movies']","['Suspenseful,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller', 'Noah Taylor', 'Byron Mann', 'Pablo Schreiber', 'McKenna Roberts', 'Noah Cottrell', 'Hannah Quinlivan', 'Adrian Holmes']"
70140907,Faster,2010.0,A ,1h 38m,Action,A bank robber just released from prison goes on a rampage to avenge his dead brother and is pursued by two relentless cops and an eccentric hit man.,"Dwayne Johnson,Billy Bob Thornton,Oliver Jackson-Cohen","['Crime Movies', 'Action & Adventure Movies', 'US Movies']","['Violent,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'English,', 'Hindi']","['Dwayne Johnson', 'Billy Bob Thornton', 'Oliver Jackson-Cohen', 'Carla Gugino', 'Maggie Grace', 'Moon Bloodgood', 'Adewale Akinnuoye-Agbaje', 'Tom Berenger', 'Mike Epps', 'Matt Gerald']"
81251628,The Man from Toronto,2022.0,U/A 13+ ,1h 52m,Action,A case of mistaken identity forces a bumbling entrepreneur to team up with a notorious assassin known as The Man from Toronto in hopes of staying alive.,"Kevin Hart,Woody Harrelson,Kaley Cuoco","['Comedy Movies', 'Action & Adventure Movies', 'US Movies']","['Goofy,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Kevin Hart', 'Woody Harrelson', 'Kaley Cuoco', 'Jasmine Mathews', 'Lela Loren', 'Pierson Fode', 'Jencarlos Canela', 'Ellen Barkin']"
70226287,G.I. Joe: Retaliation,2013.0,U/A 16+ ,1h 50m,Action,"When a power-hungry villain frames the Joes for treason and terminates their command, they're forced into hiding to fight back and clear their name.","Dwayne Johnson,Channing Tatum,Lee Byung-hun","['Sci-Fi Movies', 'Action & Adventure Movies', 'US Movies']",['Exciting'],"['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Dwayne Johnson', 'Channing Tatum', 'Lee Byung-hun', 'Adrianne Palicki', 'Bruce Willis', 'Jonathan Pryce', 'Ray Stevenson', 'D.J. Cotrona', 'Ray Park', 'Élodie Yung']"
80158583,Baywatch,2017.0,A ,1h 57m,Comedy,"To save their beach, elite lifeguard Mitch Buchannon and a former Olympian probe a criminal plot that threatens the future of the bay.","Dwayne Johnson,Zac Efron,Priyanka Chopra Jonas","['Comedy Movies', 'Action & Adventure Movies', 'US Movies']","['Absurd,', 'Raunchy,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Dwayne Johnson', 'Zac Efron', 'Priyanka Chopra Jonas', 'Alexandra Daddario', 'Kelly Rohrbach', 'Ilfenesh Hadera', 'Jon Bass', 'Yahya Abdul-Mateen II', 'Hannibal Buress', 'Rob Huebel', 'Amin Joseph', 'Jack Kesy', 'Pamela Anderson', 'Belinda', 'Charlotte McKinney', 'David Hasselhoff']"
80027980,San Andreas,2015.0,U/A 16+ ,1h 54m,Action,"A devastating earthquake hits California, and a helicopter pilot and his soon-to-be ex-wife must rescue their daughter before a second one strikes.","Dwayne Johnson,Carla Gugino,Alexandra Daddario","['Action & Adventure Movies', 'US Movies']","['Adrenaline Rush,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Dwayne Johnson', 'Carla Gugino', 'Alexandra Daddario', 'Ioan Gruffudd', 'Archie Panjabi', 'Paul Giamatti', 'Hugo Johnstone-Burt', 'Art Parkinson', 'Will Yun Lee', 'Kylie Minogue', 'Colton Haynes']"
80192187,Triple Frontier,2019.0,A ,2h 6m,Action,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences.","Ben Affleck,Oscar Isaac,Charlie Hunnam","['Crime Movies', 'Action & Adventure Movies', 'US Movies']","['Gritty,', 'Suspenseful,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Ben Affleck', 'Oscar Isaac', 'Charlie Hunnam', 'Pedro Pascal', 'Garrett Hedlund', 'Adria Arjona']"
80067930,13 Hours: The Secret Soldiers of Benghazi,2016.0,A ,2h 25m,Action,"Members of an elite security team battle to save the lives of trapped US Consulate personnel under attack by armed terrorists in Benghazi, Libya.","John Krasinski,James Badge Dale,Max Martini","['Movies Based on Books', 'Movies Based on Real Life', 'Action & Adventure Movies', 'US Movies']","['Gritty,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['John Krasinski', 'James Badge Dale', 'Max Martini', 'Pablo Schreiber', 'Toby Stephens', 'Dominic Fumusa', 'Matt Letscher', 'David Denman', 'Alexia Barlier', 'David Costabile']"
81410784,SAS: Rise of the Black Swan,2021.0,A ,2h 5m,Action,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.","Sam Heughan,Ruby Rose,Andy Serkis","['Movies Based on Books', 'Action & Adventure Movies']","['Adrenaline Rush,', 'Suspenseful']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Sam Heughan', 'Ruby Rose', 'Andy Serkis', 'Hannah John-Kamen', 'Tom Wilkinson', 'Tom Hopper', 'Noel Clarke', 'Anne Reid', 'Owain Yeoman', 'Jing Lusi', 'Ray Panthaki', 'Richard McCabe', 'Douglas Reith']"
70264801,White House Down,2013.0,U/A 16+ ,2h 11m,Action,"When violent mercenaries take over the White House, a Capitol police officer springs into action to save his daughter and get the president to safety.","Channing Tatum,Jamie Foxx,Maggie Gyllenhaal","['Action & Adventure Movies', 'US Movies']","['Adrenaline Rush,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'English,', 'Hindi']","['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal', 'Jason Clarke', 'Richard Jenkins', 'Joey King', 'James Woods', 'Nicolas Wright', 'Jimmi Simpson', 'Michael Murphy', 'Matt Craven', 'Jake Weber', 'Kevin Rankin', 'Rachelle Lefevre', 'Peter Jacobson', 'Falk Hentschel', 'Garcelle Beauvais', 'Lance Reddick', 'Barbara Williams']"
80013273,Blackhat,2015.0,A ,2h 12m,Drama,"In exchange for his freedom, an imprisoned hacker agrees to help government agents track down the terrorist behind an explosion at a nuclear power plant.","Chris Hemsworth,Wang Leehom,Tang Wei","['Dramas', 'Action & Adventure Movies', 'US Movies']","['Suspenseful,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Chris Hemsworth', 'Wang Leehom', 'Tang Wei', 'Viola Davis', 'Ritchie Coster', 'Holt McCallany', 'Andy On', 'Christian Borle', 'John Ortiz', 'Yorick van Wageningen']"
81093411,Gemini Man,2019.0,U/A 13+ ,1h 58m,Action,"A recently retired sniper faces off with a younger, stronger cloned version of himself engineered by a covert government agency to kill him.","Will Smith,Mary Elizabeth Winstead,Clive Owen","['Action & Adventure Movies', 'Spy Movies', 'US Movies']","['Imaginative,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Will Smith', 'Mary Elizabeth Winstead', 'Clive Owen', 'Benedict Wong', 'Ralph Brown', 'Linda Emond', 'Douglas Hodge', 'Ilia Volok', 'E.J. Bonilla']"
80117445,Assassin's Creed,2016.0,U/A 13+ ,1h 55m,Action,A revolutionary technology allows a man to relive the memories and learn the assassin skills of his 15th-century ancestor. Based on the video game.,"Michael Fassbender,Marion Cotillard,Jeremy Irons","['Sci-Fi Movies', 'Action & Adventure Movies', 'US Movies']",['Exciting'],"['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Michael Fassbender', 'Marion Cotillard', 'Jeremy Irons', 'Brendan Gleeson', 'Charlotte Rampling', 'Michael Kenneth Williams', 'Denis Ménochet', 'Ariane Labed']"
60022980,The Tuxedo,2002.0,U/A 13+ ,1h 39m,Action,"After a secret agent is hospitalized, his chauffeur reluctantly takes his place as a super-spy — thanks to the help of a tricked-out dinner jacket.","Jackie Chan,Jennifer Love Hewitt,Jason Isaacs","['Comedy Movies', 'Martial Arts Movies', 'Action & Adventure Movies', 'Spy Movies', 'US Movies']",['Exciting'],"['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Jackie Chan', 'Jennifer Love Hewitt', 'Jason Isaacs', 'Debi Mazar', 'Ritchie Coster', 'Peter Stormare', 'Mia Cottet', 'Romany Malco', 'Daniel Kash']"
81611680,Sniper: Rogue Mission,2022.0,A ,1h 35m,Action,"A CIA rookie, a grizzled vet and an assassin set off on a rogue mission to take down a corrupt federal agent running a human trafficking ring.","Chad Michael Collins,Ryan Robbins,Sayaka Akimoto","['Action & Adventure Movies', 'US Movies']",['Violent'],"['English [Original],', 'Hindi']","['English,', 'Hindi']","['Chad Michael Collins', 'Ryan Robbins', 'Sayaka Akimoto', 'Dennis Haysbert', 'Brendan Sexton III', 'Josh Brener', 'Jocelyn Hudon', 'David MacInnis']"
81498378,Soulcatcher,2023.0,U/A 16+ ,1h 40m,Action,A military contractor hired to seize a weapon that turns people into savage killers seeks revenge when his brother falls victim to the device.,"Piotr Witkowski,Jacek Koman,Jacek Poniedziałek",['Action & Adventure Movies'],['Exciting'],"['English,', 'Polish - Audio Description,', 'Polish [Original]']","['English,', 'English,', 'Polish']","['Piotr Witkowski', 'Jacek Koman', 'Jacek Poniedziałek', 'Mariusz Bonaszewski', 'Aleksandra Adamska', 'Vansh Luthra', 'Sebastian Stankiewicz', 'Mateusz Młodzianowski', 'Michalina Olszańska', 'Michał Burdan', 'Mateusz Rzeźniczak', 'Jacek Knap']"
81199145,Venom: Let There Be Carnage,2021.0,U/A 13+ ,1h 37m,Action,"While Eddie Brock and Venom try to navigate their thorny relationship, a new threat rises from serial killer Cletus Kasady and a new alien symbiote.","Tom Hardy,Woody Harrelson,Michelle Williams","['Sci-Fi Movies', 'Action & Adventure Movies', 'US Movies']",['Adrenaline Rush'],"['English [Original],', 'Hindi,', 'Tamil,', 'Telugu']","['English,', 'Hindi']","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris', 'Reid Scott', 'Stephen Graham', 'Peggy Lu', 'Sian Webber', 'Michelle Greenidge', 'Rob Bowen']"
80237957,Avatar The Last Airbender,2024.0,U/A 13+ ,1 Season,Fantasy,A young boy known as the Avatar must master the four elemental powers to save a world at war — and fight a ruthless enemy bent on stopping him.,"Gordon Cormier,Kiawentiio,Ian Ousley","['Family Watch Together TV', 'TV Action & Adventure', 'US TV Shows', 'Fantasy TV Shows']",['Imaginative'],[],[],"['Gordon Cormier', 'Kiawentiio', 'Ian Ousley', 'Dallas Liu', 'Paul Sun-Hyung Lee', 'Ken Leung', 'Daniel Dae Kim']"
81198938,Infinite,2021.0,U/A 16+ ,1h 46m,Action,"Overwhelmed by visions of past lives, a man joins a team of fellow reincarnated warriors to battle an enemy hell-bent on ending humanity.","Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson","['Sci-Fi Movies', 'Movies Based on Books', 'Action & Adventure Movies', 'US Movies']","['Mind-Bending,', 'Imaginative']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson', 'Jason Mantzoukas', 'Rupert Friend', 'Toby Jones', ""Dylan O'Brien"", 'Jóhannes Haukur Jóhannesson', 'Liz Carr', 'Kae Alexander', 'Tom Hughes', 'Joana Ribeiro', 'Wallis Day']"
80185760,Blade Runner 2049,2017.0,A ,2h 43m,Sci-Fi,"The contents of a hidden grave draw the interest of an industrial titan and send Officer K, an LAPD blade runner, on a quest to find a missing legend.","Ryan Gosling,Harrison Ford,Ana de Armas","['Sci-Fi Movies', 'Crime Movies', 'Dramas', 'Action & Adventure Movies', 'US Movies']","['Mind-Bending,', 'Dark']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Ryan Gosling', 'Harrison Ford', 'Ana de Armas', 'Sylvia Hoeks', 'Robin Wright', 'Mackenzie Davis', 'Jared Leto', 'Dave Bautista', 'Carla Juri', 'Lennie James', 'Sean Young', 'Edward James Olmos']"
80216200,Kate,2021.0,A ,1h 46m,Action,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.","Mary Elizabeth Winstead,Jun Kunimura,Woody Harrelson","['Action & Adventure Movies', 'US Movies']",['Violent'],"['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Mary Elizabeth Winstead', 'Jun Kunimura', 'Woody Harrelson', 'Tadanobu Asano', 'Miyavi', 'Michiel Huisman', 'Miku Martineau']"
81199139,Dune,2021.0,U/A 16+ ,2h 35m,Sci-Fi,"To secure his people's future, a young man travels to a dangerous, resource-rich planet — where malevolent forces push him toward a foreboding destiny.","Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","['Sci-Fi Movies', 'Movies Based on Books', 'Action & Adventure Movies', 'US Movies']","['Mind-Bending,', 'Ominous,', 'Dark']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Josh Brolin', 'Javier Bardem', 'Charlotte Rampling', 'Jason Momoa', 'Stellan Skarsgård', 'Dave Bautista', 'Stephen McKinley Henderson', 'Zendaya', 'Chang Chen', 'Sharon Duncan-Brewster']"
